"Title","driv_type","ES"
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","LU_LC","PestPath"
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","LU_LC","Food"
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","LU_LC","CulturePsych"
"New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula","Environmental","ClimReg"
"New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula","LU_LC","ClimReg"
"New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula","Human","ClimReg"
"New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula","Biotic","ClimReg"
"Ecosystem services returned through seagrass restoration","Human","ClimReg"
"Ecosystem services returned through seagrass restoration","Biotic","ClimReg"
"Can carbon credits fund riparian forest restoration?","LU_LC","ClimReg"
"Can carbon credits fund riparian forest restoration?","Human","ClimReg"
"Improving the application of vertebrate trait-based frameworks to the study of ecosystem services","Environmental","PestPath"
"Improving the application of vertebrate trait-based frameworks to the study of ecosystem services","LU_LC","PestPath"
"Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change","LU_LC","Food"
"Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change","LU_LC","CulturePsych"
"Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change","Biotic","CulturePsych"
"Incomplete recovery of ecosystem processes after two decades of riparian forest restoration","LU_LC","ClimReg"
"Incomplete recovery of ecosystem processes after two decades of riparian forest restoration","Human","ClimReg"
"Environmental Conservation and Social Benefits of Charcoal Production in Mozambique","LU_LC","Food"
"Environmental Conservation and Social Benefits of Charcoal Production in Mozambique","LU_LC","Materials"
"High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs","Human","HabCreate"
"High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs","Human","Food"
"High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs","LU_LC","HabCreate"
"High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs","LU_LC","Food"
"Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest","LU_LC","ClimReg"
"Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest","Biotic","ClimReg"
"Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest","Environmental","ClimReg"
"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape","Human","HabCreate"
"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape","Human","ClimReg"
"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape","Biotic","HabCreate"
"Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures","Human","SoilProtect"
"Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","Human","HabCreate"
"Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","Human","ClimReg"
"Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","Human","SoilProtect"
"Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","Biotic","HabCreate"
"Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","Biotic","ClimReg"
"Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","Biotic","SoilProtect"
