EcoServ,Response,Key word,Notes,EF,ES,no selection,Proxy for ES
AQReg,coarse veg area x pollution removal rate,Pollution/water quality/air quality,,0,1,0,0
AQReg,fine veg area x pollution removal rate,Pollution/water quality/air quality,,0,1,0,0
AQReg,Gas regulation,Pollution/water quality/air quality,,1,1,0,0
AQReg,N2,Pollution/water quality/air quality,,0,1,0,0
AQReg,nitrous oxide emission,Pollution/water quality/air quality,,0,0,0,1
AQReg,Nitrous oxide emissions,Pollution/water quality/air quality,,1,0,0,0
AQReg,nitrous oxide flux,Pollution/water quality/air quality,,0,1,0,0
AQReg,NO measurements,Pollution/water quality/air quality,,0,1,0,0
AQReg,NO2 concentration levels,Pollution/water quality/air quality,,0,0,0,1
AQReg,No2 dry deposition velocity,Pollution/water quality/air quality,,0,0,0,1
coastWQReg,chemical water quality regulation,Pollution/water quality/air quality,,0,1,0,0
coastWQReg,ecologic water quality,Pollution/water quality/air quality,,0,0,0,1
Food,mercury residues in fish,Pollution/water quality/air quality,,0,0,1,0
ClimReg,above and below ground primary prouction,Productivity,,0,1,0,1
ClimReg,Aboveground biomass,Productivity,,1,2,0,0
ClimReg,aboveground carbon pool,Productivity,,0,1,0,1
ClimReg,aboveground carbon storage,Productivity,check this one,0,1,0,0
ClimReg,aboveground live biomass,Productivity,,1,0,0,0
ClimReg,biomass carbon stock,Productivity,,1,0,0,0
ClimReg,C fixation and O2 releasing,Productivity,,0,1,0,0
ClimReg,C storage,Productivity,,0,1,0,0
ClimReg,canopy biomass,Productivity,,0,0,0,1
ClimReg,GPP,Productivity,,0,0,1,0
ClimReg,microbial biomass,Productivity,?,1,0,0,0
ClimReg,Net primary production,Productivity,,0,0,1,0
ClimReg,net primary productivity,Productivity,,0,0,0,1
ClimReg,NPP,Productivity,,0,2,0,0
coastWQReg,chlorophyll a,Productivity,,0,0,0,1
coastWQReg,fish size,Productivity,,0,0,0,1
coastWQReg,Growth of dry soft tissue,Productivity,maybe,1,0,0,0
coastWQReg,Growth of shell length,Productivity,"maybe, could be ESP",1,0,0,0
CulturePsych,fish productivity,Productivity,,0,0,0,1
Energy,Aboveground annual net primary productivity,Productivity,,0,0,0,1
Energy,Biomass,Productivity,,0,0,0,1
Energy,Biomass based energy,Productivity,,0,1,0,0
Food,aboveground biomass,Productivity,,0,0,0,1
