EcoServ,Response,V1,EF,ES,no selection,Proxy for ES
Food,inland fisheries yields,1,0,1,0,0
SoilProtect,inorganic N supply,1,0,1,0,0
HabCreate,insect pollinated plants,1,0,1,0,0
PestPath,invasion resistance,1,1,0,0,0
PestPath,Invasive species cover,1,0,0,1,0
Pollination,Invertebrate abundance (natural enemies),1,0,0,0,1
MaintainOpts,invertebrate abundances,1,1,0,0,0
PestPath,Invertebrate biodiversity,1,0,0,0,1
coastWQReg,invertebrate community,1,0,0,0,1
MaintainOpts,Invertebrate traits,1,1,0,0,0
Pollination,isotope ratios,1,0,0,0,1
SoilProtect,K,1,0,0,0,1
CulturePsych,lake visitation,1,0,1,0,0
CulturePsych,landscape aesthetics,1,0,1,0,0
HabCreate,landscape heterogeneity,1,0,0,0,1
PestPath,larval dissappearance rates of pests,1,0,0,0,1
PestPath,larval removal,1,0,1,0,0
CulturePsych,lawn furniture,1,0,0,0,1
SoilProtect,leaf consumption,1,0,0,0,1
coastWQReg,leaf litter decomposition,1,1,0,0,0
SoilProtect,Leaf litter decomposition,1,0,1,0,0
Food,legume abundance,1,0,0,0,1
CulturePsych,leisure hunting,1,0,1,0,0
CulturePsych,life satisfaction,1,0,0,0,1
Pollination,likelihood of seed dispersal in given locations,1,0,1,0,0
SoilProtect,litter biomass,1,1,0,0,0
coastWQReg,litter consumption rates,1,1,0,0,0
SoilProtect,litter decomposition,1,1,0,0,0
Food,livestock and agriculture,1,0,1,0,0
Food,livestock owned,1,0,0,1,0
Food,livestock production,1,0,0,0,1
ClimReg,Loss of Co2 from forest fires,1,0,0,0,1
CulturePsych,Love of nature,1,0,1,0,0
HabCreate,macro invertebrate rayon richness and diversity,1,0,0,0,1
coastWQReg,macroinvertebrate abundance and composition,1,0,0,0,1
HabCreate,Manning's roughness Coefficient,1,1,0,0,0
SoilProtect,many soil chemistry variables,1,1,0,0,0
Food,Maple syrup,1,0,1,0,0
Food,marine trophic index,1,0,1,0,0
HabCreate,maximum anchor ice,1,1,0,0,0
Hazards,maximum continuous period of tidal submergence,1,0,0,1,0
Food,meat production,1,0,1,0,0
MedGen,medicinal plant richness,1,0,1,0,0
MedGen,medicinal plants,2,0,2,0,0
Food,mercury residues in fish,1,0,0,1,0
SoilProtect,Mg,1,0,0,0,1
ClimReg,Mg C per ha,1,0,0,1,0
SoilProtect,Microbial basal respiration,1,1,0,0,0
ClimReg,microbial biomass,1,1,0,0,0
SoilProtect,Microbial biomass,1,1,0,0,0
CulturePsych,moose hunting,1,0,1,0,0
Food,Moose hunting,1,0,1,0,0
HabCreate,multifunctional hotspots,1,0,1,0,0
SoilProtect,N,2,1,0,0,1
coastWQReg,N and P excretion rates,1,0,0,1,0
ClimReg,N avaliability,0,0,1,0,1
AQReg,N deposition,1,0,0,0,1
